순위,곡명,가수명
1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2,After LIKE,IVE (아이브)
3,Shut Down,BLACKPINK
4,Hype boy,NewJeans
5,Attention,NewJeans
6,Pink Venom,BLACKPINK
7,Rush Hour (Feat. j-hope of BTS),Crush
8,LOVE DIVE,IVE (아이브)
9,딱 10CM만,"10CM, BIG Naughty (서동현)"
10,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
11,사랑은 늘 도망가,임영웅
12,Cookie,NewJeans
13,Monologue,테이
14,FOREVER 1,소녀시대 (GIRLS' GENERATION)
15,그라데이션,10CM
16,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈"
17,우리들의 블루스,임영웅
18,LAW (Prod. Czaer),"윤미래, 비비 (BIBI)"
19,자격지심 (Feat. ZICO),BE'O (비오)
20,보고싶었어,WSG워너비 (4FIRE)
21,TOMBOY,(여자)아이들
22,사랑인가 봐,멜로망스
23,다시 만날 수 있을까,임영웅
24,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
25,내가 아니라도,주호
26,SNEAKERS,ITZY (있지)
27,해요 (2022),#안녕
28,나의 X에게,경서
29,That's Hilarious,Charlie Puth
30,무지개,임영웅
31,이제 나만 믿어요,임영웅
32,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
33,ELEVEN,IVE (아이브)
34,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
35,FEARLESS,LE SSERAFIM (르세라핌)
36,아버지,임영웅
37,POP!,나연 (TWICE)
38,I Don't Think That I Like Her,Charlie Puth
39,A bientot,임영웅
40,취중고백,김민석 (멜로망스)
41,LOVE me,BE'O (비오)
42,도깨비불 (Illusion),aespa
43,너의 모든 순간,성시경
44,손이 참 곱던 그대,임영웅
45,Love story,볼빨간사춘기
46,사랑해 진짜,임영웅
47,인생찬가,임영웅
48,다정히 내 이름을 부르면,"경서예지, 전건호"
49,연애편지,임영웅
50,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
51,사랑역,임영웅
52,사랑한다고 말해줘,탑현
53,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
54,보금자리,임영웅
55,새벽에 걸려온 너의 전화는,한동근
56,사랑해요 그대를,임영웅
57,STAY,"The Kid LAROI, Justin Bieber"
58,Dynamite,방탄소년단
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
60,통화연결음,"보라미유, MJ (써니사이드)"
61,Girls,aespa
62,Feel My Rhythm,Red Velvet (레드벨벳)
63,strawberry moon,아이유
64,밤하늘의 별을(2020),경서
65,신호등,이무진
66,Talk that Talk,TWICE (트와이스)
67,스티커 사진,21학번
68,INVU,태연 (TAEYEON)
69,Butter,방탄소년단
70,DICE,NMIXX
71,드라마,아이유
72,내 손을 잡아,아이유
73,Off My Face,Justin Bieber
74,주저하는 연인들을 위해,잔나비
75,GANADARA (Feat. 아이유),박재범
76,봄날,방탄소년단
77,Next Level,aespa
78,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
79,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
80,Yet To Come,방탄소년단
81,I Ain't Worried,OneRepublic
82,Permission to Dance,방탄소년단
83,SMILEY (Feat. BIBI),YENA (최예나)
84,MY BAG,(여자)아이들
85,너를 생각해,주시크 (Joosiq)
86,듣고 싶을까,MSG워너비(M.O.M)
87,Weekend,태연 (TAEYEON)
88,아무래도 난,주시크 (Joosiq)
89,열이올라요 (Heart Burn),선미
90,그중에 그대를 만나,김호중
91,질주 (2 Baddies),NCT 127
92,Celebrity,아이유
93,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
94,잠수이별 (Prod. 코드 쿤스트),"우원재, meenoi (미노이)"
95,인생은 뷰티풀,김호중
96,사건의 지평선,윤하 (YOUNHA)
97,고백하는 취한밤에 (Prod. 2soo),임재현
98,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
99,나의 목소리로,김호중
100,바라만 본다,MSG워너비(M.O.M)
