번호,메뉴,가격
1,더블함박,"6,700"
2,해바라기,"10,000"
3,데미햄버그 불고기 파스타,"5,200"
4,데미햄버그 불고기 덮밥,"4,800"
5,핫 치즈 닭갈비덮밥,"5,900"
6,오리지널 치즈 닭갈비덮밥,"5,900"
7,매화(순살 고등어 간장구이),"10,000"
8,진달래,"7,500"
9,개나리(순살 고등어 간장구이),"8,500"
10,돈까스도련님고기고기,"6,000"
11,탕수육도련님고기고기,"5,800"
12,새치 고기고기,"6,700"
13,돈치 고기고기,"5,800"
14,오븐구이 오리도시락,"6,900"
15,숯불직화구이,"6,500"
16,소불고기,"5,400"
17,메가치킨제육,"7,000"
18,칠리 찹쌀탕수육도련님,"4,200"
19,동백,"5,800"
20,치킨제육,"4,700"
21,돈까스도련님,"4,500"
22,제육볶음,"4,200"
23,돈치스팸 도시락,"4,900"
24,제육 김치찌개 정식,"8,200"
25,제육 김치 부대찌개 정식,"8,500"
26,돈치스팸 김치 부대찌개 정식,"8,500"
27,빅치킨마요 김치 부대찌개 정식,"7,500"
28,치킨마요 김치 부대찌개 정식,"6,900"
29,빅치킨마요 김치찌개 정식,"7,000"
30,치킨마요 김치찌개 정식,"6,500"
31,메가스팸마요,"5,600"
32,스팸마요,"3,700"
33,메가치킨마요,"5,800"
34,왕치킨마요,"4,800"
35,빅치킨마요,"4,100"
36,치킨마요,"3,500"
37,참치마요,"3,200"
38,돈치마요,"3,800"
39,돈까스 카레,"4,500"
40,스팸 김치볶음밥,"4,700"
41,김치볶음밥,"3,900"
42,스팸철판볶음밥,"4,500"
43,소불고기 철판볶음밥,"4,700"
44,나시고랭,"6,000"
45,묵은지 김치찌개,"4,500"
46,김치 부대찌개,"5,800"
47,숯불직화구이 덮밥,"5,900"
48,마파두부 덮밥,"5,000"
49,왕카레돈까스덮밥,"5,900"
50,새우돈까스 덮밥,"4,100"
51,돈까스 덮밥,"4,000"
52,소불고기 감초고추장 비빔밥,"5,200"
53,시골제육 두부강된장 비빔밥,"5,000"
54,참치야채 감초고추장,"3,300"
55,튼튼도시락,"5,000"
56,토네이도 소세지 파스타,"5,500"
57,트리플 치즈 파스타,"5,500"
58,토마토 미트 파스타,"4,500"
59,반찬 계란말이,"2,500"
60,반찬 묵은지김치찌개,"4,000"
61,반찬 카레,"2,800"
62,반찬 순살 고등어데리야끼,"3,900"
63,반찬 김치 부대찌개,"4,500"
64,반찬 치킨,"3,600"
65,반찬 고기고기,"3,400"
66,반찬 돈까스 도련님,"3,800"
67,반찬 제육볶음,"3,200"
68,반찬 토네이도 소세지,"2,600"
69,반찬 반달돈까스,"2,800"
70,뉴 감자고로케,"2,700"
71,미니 찹쌀핫도그,"2,500"
72,미니 찹쌀탕수육,"2,200"
73,케이준후라이,"1,700"
74,후라이드 순살(소)_스리라차마요소스,"4,000"
75,후라이드 순살(중),"7,500"
76,후라이드 순살(소)_양념치킨소스,"4,000"
77,후라이드 순살(소)_케이준소스,"4,000"
78,오리지널 닭강정(중),"8,000"
79,오리지널 닭강정(소),"3,400"
80,오징어젓갈,500
81,한솥 두부강된장소스,"1,800"
82,한솥 감초볶음고추장소스,500
83,볶음김치,500
84,김치,400
85,무말랭이 무침,400
86,한솥밥,"1,000"
87,현미밥,"1,700"
88,리얼 티라미수 찰떡,"1,500"
89,리얼꿀 미니호떡,"2,200"
